datetime	rtypes	ptypes
2003-05-24 00:18:40	10	0
2003-05-24 00:18:41	15	0
2003-05-24 00:29:44	31	0
2003-05-24 00:32:59	34	0
2003-05-24 00:53:07	34	0
2003-05-24 00:53:08	34	0
2003-05-25 17:04:29	37	0
2003-05-25 17:35:33	39	0
2003-05-25 17:35:35	39	0
2003-05-27 16:10:35	39	0
2003-05-27 16:14:01	39	0
2003-05-27 16:55:12	39	0
2003-05-27 17:47:52	39	0
2003-05-28 18:09:34	42	0
2003-05-28 22:56:06	49	0
2003-05-28 23:32:12	50	0
2003-05-29 01:14:42	70	0
2003-05-29 01:15:03	75	0
2003-05-29 01:15:15	75	0
2003-05-29 01:15:27	75	0
2003-05-30 23:41:17	75	0
2003-05-30 23:41:18	75	0
2003-06-06 23:00:24	76	0
2003-06-06 23:00:25	76	0
2003-06-06 23:00:26	77	0
2003-06-06 23:18:32	73	0
2003-06-07 00:19:17	75	0
2003-06-07 00:44:07	90	0
2003-06-07 00:45:01	90	0
2003-06-09 22:16:18	94	0
2003-06-09 22:16:46	94	0
2003-06-09 23:19:55	95	0
2003-06-09 23:19:56	95	0
2003-06-13 21:42:58	95	0
2003-06-13 22:01:58	95	0
2003-06-21 14:19:07	97	0
2003-06-21 14:19:30	97	0
2003-11-17 00:14:22	97	0
2003-11-22 12:37:30	97	0
2003-12-07 20:57:09	97	0
2003-12-08 04:53:45	100	0
2003-12-10 00:04:44	100	0
2003-12-15 23:33:12	100	0
2003-12-15 23:33:13	100	0
2004-01-09 22:19:34	100	0
2004-01-09 22:19:37	100	0
2004-01-09 22:19:39	100	0
2004-01-09 23:09:23	100	0
2004-01-09 23:41:09	102	0
2004-01-09 23:54:15	102	0
2004-01-10 00:12:15	102	0
2004-01-11 17:21:33	102	0
2004-01-11 17:21:34	102	0
2004-01-11 17:25:39	104	0
2004-01-14 21:14:03	105	0
2004-01-14 21:56:00	105	0
2004-01-14 21:56:20	105	0
2004-01-14 21:56:53	105	0
2004-01-17 12:20:57	105	0
2004-01-17 13:46:21	105	0
2004-01-17 13:46:22	105	0
2004-01-17 22:32:33	108	0
2004-01-17 23:02:07	110	0
2004-01-18 00:59:48	110	0
2004-01-18 01:00:11	115	0
2004-01-18 01:00:12	117	0
2004-01-18 01:00:35	122	0
2004-01-26 19:43:54	122	0
2004-01-31 15:41:09	122	0
2004-02-03 22:08:47	122	0
2004-06-27 12:44:14	125	0
2004-07-15 22:22:27	125	0
2004-07-16 21:49:07	125	0
2004-07-17 00:05:10	125	0
2004-07-17 15:28:38	128	0
2004-07-17 15:28:39	128	0
2004-07-21 21:29:28	128	0
2004-07-21 21:40:12	127	0
2004-07-21 21:48:14	127	0
2005-03-21 04:10:29	127	0
2005-03-21 04:18:31	127	0
2005-03-21 04:19:30	127	0
2005-03-21 04:23:05	125	0
2005-03-23 13:54:25	127	0
2005-03-23 13:54:26	127	0
2005-03-25 06:59:30	127	0
2005-03-25 08:15:07	128	0
2005-03-30 00:21:33	132	0
2005-03-30 05:34:35	132	0
2005-04-02 08:20:17	177	0
2005-04-02 08:20:18	177	0
2005-04-02 08:34:12	177	0
2005-04-02 08:34:14	176	0
2005-04-03 06:23:14	176	0
2005-04-03 06:23:16	176	0
2005-04-04 16:50:45	176	0
2005-04-13 17:57:01	183	0
2005-04-16 12:40:23	195	0
2005-04-16 12:40:24	195	0
2005-04-16 12:40:25	195	0
2005-04-16 12:40:26	195	0
2005-04-16 12:40:27	195	0
2005-04-17 05:16:40	193	0
2005-04-18 03:05:34	193	0
2005-04-18 03:05:38	193	0
2005-04-18 03:05:41	195	0
2005-04-18 03:05:42	193	0
2005-04-18 03:05:43	193	0
2005-04-19 16:22:05	193	0
2005-04-19 16:22:06	195	0
2005-04-21 13:42:25	197	0
2005-04-21 13:42:26	199	0
2005-04-21 13:42:27	206	0
2005-04-21 13:42:28	209	0
2005-04-21 14:27:18	209	0
2005-04-21 14:27:19	209	0
2005-04-21 14:27:23	213	0
2005-04-21 14:27:24	213	0
2005-04-21 14:27:25	216	0
2005-05-01 03:50:43	222	0
2005-05-01 03:50:44	224	0
2005-05-01 07:56:21	223	0
2005-05-03 10:03:38	223	0
2005-05-03 10:03:41	223	0
2005-05-03 10:50:28	223	0
2005-05-03 10:50:29	223	0
2005-05-07 07:36:03	223	0
2005-05-07 08:54:06	223	0
2005-05-12 18:54:02	223	0
2005-05-13 04:03:35	223	0
2005-05-13 07:33:41	223	0
2005-05-15 04:11:28	223	0
2005-05-15 04:19:24	223	0
2005-05-15 04:24:42	223	0
2005-05-15 04:25:50	220	0
2005-05-15 04:27:43	222	0
2005-05-15 04:29:10	222	0
2005-05-15 04:29:23	223	0
2005-05-15 05:16:44	223	0
2005-05-16 07:23:57	223	0
2005-05-16 09:46:41	223	0
2005-05-18 08:31:22	223	0
2005-05-24 06:00:23	223	0
2005-05-24 06:00:39	225	0
2005-05-24 06:00:42	225	0
2005-05-24 06:00:43	225	0
2005-05-24 06:00:44	229	0
2005-05-24 06:00:45	236	0
2005-05-24 06:00:46	237	0
2005-05-24 14:10:33	239	0
2005-05-24 14:10:42	239	0
2005-05-28 03:31:59	244	0
2005-05-30 03:05:19	249	0
2005-05-30 03:05:27	249	0
2005-06-03 00:58:25	249	0
2005-06-09 06:08:10	249	0
2005-06-09 12:16:26	249	0
2005-06-11 03:20:09	249	0
2005-06-17 14:17:22	249	0
2005-06-18 04:56:25	250	0
2005-06-18 04:56:28	250	0
2005-06-20 16:45:23	250	0
2005-06-20 16:47:05	250	0
2005-06-25 17:46:45	250	0
2005-07-01 13:39:31	250	0
2005-07-01 13:40:20	250	0
2005-07-05 13:53:28	250	0
2005-07-06 17:50:10	251	0
2005-07-08 02:08:50	251	0
2005-07-08 02:40:02	251	0
2005-07-11 00:31:45	256	0
2005-07-11 00:31:48	256	0
2005-07-12 00:32:31	256	0
2005-07-12 00:39:55	256	0
2005-07-13 09:32:24	257	0
2005-07-21 03:33:19	266	0
2005-07-26 03:32:34	266	0
2005-07-26 03:32:35	266	0
2005-08-04 05:43:09	266	0
2005-08-04 05:43:19	266	0
2005-08-04 06:05:07	266	0
2005-08-06 07:19:51	266	0
2005-08-10 00:53:44	266	0
2005-08-18 01:56:56	267	0
2005-08-18 01:57:58	268	0
2005-08-18 01:58:58	268	0
2005-08-22 10:23:19	268	0
2005-08-22 19:00:03	268	0
2005-08-22 19:00:04	268	0
2005-08-24 11:56:34	268	0
2005-08-24 13:19:52	268	0
2005-08-24 13:22:47	268	0
2005-08-24 18:34:15	274	0
2005-08-24 18:34:16	274	0
2005-08-27 16:17:43	276	0
2005-08-27 17:17:23	276	0
2005-08-29 03:01:25	276	0
2005-08-29 18:17:30	276	0
2005-08-29 18:17:31	276	0
2005-08-30 18:14:55	277	0
2005-08-30 18:14:56	277	0
2005-08-30 18:17:11	277	0
2005-09-14 02:16:16	277	0
2005-09-26 14:40:28	276	0
2005-09-27 09:20:08	276	0
2005-10-05 15:39:39	276	0
2005-10-05 15:39:40	276	0
2005-10-08 02:38:41	282	0
2005-10-10 05:28:12	282	0
2005-10-10 07:25:26	282	0
2005-10-28 13:10:41	282	0
2005-10-28 13:24:33	282	0
2005-11-04 02:19:00	295	0
2005-11-04 02:19:01	295	0
2005-11-04 05:34:54	295	0
2005-11-04 09:56:35	295	0
2005-11-04 14:57:20	295	0
2005-11-05 09:07:06	295	0
2005-11-05 09:14:57	295	0
2005-11-06 06:36:10	296	0
2005-11-06 06:36:13	296	0
2005-11-06 06:36:45	296	0
2005-11-06 06:53:33	296	0
2005-11-07 03:03:41	296	0
2005-11-09 13:44:58	296	0
2005-11-10 07:34:09	296	0
2005-11-10 07:34:10	296	0
2005-11-12 08:10:31	296	0
2005-11-18 02:12:06	296	0
2005-11-21 18:43:15	300	0
2005-11-22 07:37:33	304	0
2005-11-22 10:54:22	304	0
2005-11-22 10:54:23	304	0
2005-11-22 17:55:02	304	0
2005-11-22 17:58:02	315	0
2005-11-23 07:09:09	315	0
2005-12-12 03:06:02	315	0
2005-12-12 03:06:03	315	0
2005-12-16 00:44:07	315	0
2005-12-19 01:22:45	319	0
2005-12-19 04:57:35	319	0
2005-12-21 07:41:04	319	0
2005-12-23 10:12:54	319	0
2006-01-02 11:26:21	329	0
2006-01-02 11:26:22	329	0
2006-01-03 13:30:52	329	0
2006-01-04 04:39:34	329	0
2006-01-06 07:34:57	331	0
2006-01-06 11:13:01	332	0
2006-01-06 11:13:02	328	0
2006-01-18 03:52:10	328	0
2006-01-18 03:52:11	328	0
2006-01-18 03:52:12	330	0
2006-01-18 03:52:56	330	0
2006-01-19 01:04:38	352	0
2006-01-19 01:04:39	354	0
2006-01-19 02:43:48	354	0
2006-01-19 02:43:52	352	0
2006-01-19 02:53:37	352	0
2006-01-19 03:07:08	352	0
2006-01-19 03:07:13	352	0
2006-01-19 03:07:14	352	0
2006-01-19 03:10:29	352	0
2006-01-19 03:10:30	351	0
2006-01-19 03:10:31	351	0
2006-01-19 03:10:32	352	0
2006-01-19 03:10:33	352	0
2006-01-19 03:14:47	352	0
2006-01-19 04:51:52	352	0
2006-01-19 05:58:15	352	0
2006-01-19 06:33:39	352	0
2006-01-21 09:42:12	353	0
2006-01-21 09:42:13	353	0
2006-01-21 09:42:14	353	0
2006-01-21 13:43:51	360	0
2006-01-22 13:28:46	360	0
2006-01-23 00:20:07	360	0
2006-01-23 00:20:23	363	0
2006-01-23 07:15:14	363	0
2006-01-23 14:29:13	363	0
2006-01-23 14:39:31	363	0
2006-01-29 05:06:10	363	0
2006-01-30 16:22:25	363	0
2006-01-30 17:04:25	365	0
2006-01-31 14:25:22	365	0
2006-01-31 14:25:40	365	0
2006-01-31 15:34:37	366	0
2006-01-31 15:35:34	366	0
2006-02-02 00:29:20	366	0
2006-02-02 00:29:21	366	0
2006-02-02 17:06:33	366	0
2006-02-06 16:25:02	366	0
2006-02-08 02:31:41	369	0
2006-02-11 07:06:38	369	0
2006-02-11 07:06:41	369	0
2006-02-13 18:44:08	369	0
2006-02-13 18:44:10	369	0
2006-02-14 18:00:46	369	0
2006-02-14 18:00:52	370	0
2006-02-16 18:17:17	374	0
2006-02-16 18:17:18	375	0
2006-03-07 05:27:53	381	0
2006-03-07 06:16:38	381	0
2006-03-07 09:58:15	381	0
2006-03-11 04:31:17	382	0
2006-03-24 11:02:58	384	0
2006-03-24 13:42:58	384	0
2006-04-08 09:31:43	384	0
2006-04-13 14:11:41	384	0
2006-04-13 14:11:42	384	0
2006-04-13 14:12:15	384	0
2006-05-14 04:12:09	384	0
2006-06-07 03:16:18	384	0
2006-06-07 03:36:18	384	0
2006-07-03 05:32:42	384	0
2006-07-29 07:46:33	384	0
2006-07-29 08:31:56	384	0
2006-07-29 09:01:08	388	0
2006-07-29 09:01:14	388	0
2006-07-29 09:01:19	388	0
2006-07-29 09:01:20	388	0
2006-08-12 12:35:46	388	0
2006-08-12 12:35:47	389	0
2006-08-13 07:27:58	389	0
2006-08-13 09:21:26	389	0
2006-08-18 18:55:03	390	0
2006-11-07 11:04:56	391	0
2006-11-07 11:04:57	391	0
2006-11-26 16:57:01	391	0
2006-11-26 17:53:19	396	0
2006-12-03 03:11:25	396	0
2006-12-03 03:11:28	396	0
2006-12-03 03:11:30	396	0
2006-12-03 13:10:22	395	0
2006-12-05 17:38:43	402	0
2006-12-05 17:38:46	402	0
2006-12-05 17:38:47	402	0
2006-12-06 18:15:26	402	0
2006-12-07 16:27:11	407	0
2006-12-14 16:19:35	408	0
2006-12-17 06:42:20	409	0
2006-12-21 17:55:12	409	0
2007-01-06 12:29:11	409	0
2007-01-06 12:29:12	409	0
2007-01-26 16:12:20	409	0
2007-01-26 16:12:21	414	0
2007-01-26 16:12:22	414	0
2007-01-26 16:12:23	414	0
2007-01-26 16:12:24	414	0
2007-01-30 16:32:49	414	0
2007-03-11 13:22:04	414	0
2007-03-18 08:13:47	414	0
2007-03-18 18:37:21	417	0
2007-03-18 18:43:14	417	0
2007-03-29 17:34:15	417	0
2007-03-31 07:50:56	417	0
2007-03-31 07:50:57	417	0
2007-04-04 17:29:36	417	0
2007-04-12 17:23:19	417	0
2007-04-12 17:24:15	417	0
2007-04-20 18:12:48	426	0
2007-04-21 09:44:36	426	0
2007-04-22 16:49:07	427	0
2007-04-23 17:32:00	429	0
2007-05-02 17:45:10	429	0
2007-05-02 17:45:11	429	0
2007-05-02 17:45:12	429	0
2007-05-04 17:04:42	430	0
2007-05-04 17:04:43	431	0
2007-05-04 17:17:59	437	0
2007-05-04 17:18:00	437	0
2007-05-06 09:06:34	437	0
2007-05-06 09:06:35	437	0
2007-05-19 17:11:19	437	0
2007-05-21 17:32:20	437	0
2007-05-21 17:32:21	437	0
2007-05-21 17:32:22	437	0
2007-05-24 15:07:17	437	0
2007-05-24 15:50:05	439	0
2007-05-28 11:52:38	440	0
2007-06-06 18:04:16	440	0
2007-06-06 18:04:33	441	0
2007-06-07 09:20:16	441	0
2007-06-07 09:20:19	441	0
2007-06-07 09:21:09	441	0
2007-07-14 06:26:01	441	0
2007-09-05 17:28:55	443	0
2007-10-15 13:37:19	443	0
2007-10-30 16:22:11	443	0
2007-12-10 17:13:00	443	0
2007-12-10 17:33:18	443	0
2007-12-15 08:22:11	443	0
2007-12-15 08:22:12	443	0
2007-12-22 09:13:57	443	0
2007-12-26 08:25:51	443	0
2008-04-06 07:49:32	443	2
2008-04-06 07:49:33	443	6
2008-04-06 07:49:48	443	13
2008-04-06 07:49:49	443	31
2008-04-06 13:22:52	443	32
2008-04-06 13:22:54	443	32
2008-04-06 13:22:55	443	32
2008-04-24 13:51:00	444	32
2008-04-24 13:51:01	446	32
2008-06-08 12:42:16	446	43
2008-06-08 12:42:18	446	53
2008-06-22 07:19:00	451	58
2008-06-22 07:21:09	451	58
2008-06-22 13:04:14	451	69
2008-06-22 13:04:15	451	77
2008-06-22 13:04:39	451	81
2008-06-22 13:04:40	451	85
2008-06-22 13:04:41	451	90
2008-06-23 14:18:15	451	99
2008-07-17 13:58:39	451	99
2008-07-17 13:59:25	451	109
2008-07-17 13:59:43	451	110
2008-07-17 16:01:52	451	119
2008-07-17 16:01:57	451	121
2008-07-17 16:01:59	451	124
2008-07-17 16:02:01	451	125
2008-07-17 16:02:03	453	125
2008-07-17 16:02:04	453	131
2008-07-17 16:02:05	453	139
2008-07-17 16:02:06	453	142
2008-07-17 16:02:07	453	142
2008-07-17 16:02:10	453	141
2008-07-17 16:02:13	453	146
2008-07-17 16:02:14	453	147
2008-07-17 16:02:16	453	154
2008-07-17 16:02:19	454	154
2008-07-17 16:02:22	459	154
2008-07-17 16:02:24	459	159
2008-07-17 16:02:25	459	162
2008-07-17 16:02:28	459	165
2008-07-17 16:02:30	464	165
2008-07-17 16:02:31	459	171
2008-07-17 16:02:34	461	171
2008-07-17 16:02:35	461	172
2008-07-17 16:02:36	461	172
2008-07-17 16:02:38	463	172
2008-07-17 16:02:50	463	179
2008-07-17 16:02:51	463	190
2008-07-17 16:02:52	463	201
2008-07-17 16:02:53	463	204
2008-07-17 16:02:54	463	214
2008-07-17 16:02:56	463	221
2008-07-17 16:02:58	463	222
2008-07-17 16:02:59	463	223
2008-07-17 16:03:00	463	225
2008-07-17 16:03:01	463	227
2008-07-17 16:03:02	463	228
2008-07-17 16:03:03	463	230
2008-07-17 16:03:04	463	235
2008-07-17 16:03:05	463	237
2008-07-17 16:03:10	463	238
2008-07-17 16:03:12	463	243
2008-07-17 16:03:13	464	264
2008-07-17 16:03:14	464	264
2008-07-17 16:03:15	464	267
2008-07-17 16:03:16	464	273
2008-07-17 16:03:17	464	274
2008-07-17 16:03:22	464	284
2008-07-17 17:53:01	464	285
2008-07-21 16:28:16	464	285
2008-07-28 17:44:31	464	285
2008-07-28 17:44:57	464	290
2008-07-28 17:44:58	463	290
2008-09-05 18:13:16	463	292
2008-09-05 18:13:18	463	292
2008-11-18 10:44:44	463	292
2008-12-01 04:46:36	466	294
2009-02-07 16:04:33	466	294
2009-02-08 06:36:30	466	294
2009-02-08 06:36:38	466	294
2009-02-08 11:54:16	466	291
2009-02-08 17:34:26	466	291
2009-02-08 17:34:54	466	291
2009-02-08 17:35:02	466	291
2009-02-14 07:37:13	466	291
2009-02-14 07:38:18	466	291
2009-02-14 07:38:20	466	291
2009-02-14 07:38:46	466	293
2009-02-15 05:17:44	466	293
2009-02-16 14:59:22	466	293
2009-03-04 14:10:18	466	293
2009-03-23 15:57:26	466	293
2009-03-25 18:12:09	466	293
2009-04-18 08:38:33	466	293
2009-04-18 13:54:51	466	293
2009-04-21 15:59:53	466	293
2009-06-28 13:24:03	466	296
2009-06-28 13:24:15	466	296
2009-06-28 13:24:16	466	296
2009-06-28 13:24:22	466	299
2009-07-28 17:59:17	466	299
2009-07-28 18:10:06	466	299
2009-07-29 17:37:14	466	299
2009-09-20 09:13:10	466	299
2009-10-15 17:43:24	466	299
2009-11-04 17:11:36	466	299
2009-11-04 17:18:01	466	299
2010-01-28 15:52:49	466	299
2010-02-17 14:59:05	466	299
2010-02-17 14:59:09	466	299
2010-02-17 14:59:12	466	299
2010-02-18 16:40:55	466	299
2010-02-18 16:40:56	466	299
2010-02-18 16:41:27	466	299
2010-02-18 16:41:28	466	299
